Time,Price
1234,608.03
1235,608.84
1236,610.59
1237,607.25
1238,607.22
1239,606.28
1240,609.87
1241,609.25
1242,603.59
1243,597.28
1244,596.2
1245,602.96
1246,602.75
1247,600.81
1248,608.02
1249,606.24
1250,605.02
1251,605.72
1252,609.93
1253,613.95
1254,610.97
1255,612.05
1256,610.22
1257,612.47
1258,612.61
1259,617.34
1260,619.17
1261,616.82
1262,619.24
1263,640.87
1264,636.03
1265,637.01
1266,640.31
1267,639.08
1268,641.82
1269,639.41
1270,638.13
1271,630.66
1272,630.83
1273,633.14
1274,657.62
1275,657.16
1276,654
1277,657.68
1278,678.21
1279,688
1280,690.29
1281,714.12
1282,702.64
1283,701.34
1284,730.07
1285,742.35
1286,689.12
1287,703.53
1288,703.81
1289,710.74
1290,703.09
1291,709.83
1292,722.84
1293,715.55
1294,716.75
1295,705.2
1296,702
1297,705.79
1298,711.17
1299,744.88
1300,740.71
1301,751.83
1302,751.88
1303,731.27
1304,739.64
1305,751.74
1306,744.62
1307,740.44
1308,741.51
1309,735.44
1310,732.48
1311,736.33
1312,736.28
1313,746.05
1314,757.54
1315,778.25
1316,771.64
1317,773.39
1318,758.72
1319,764.21
1320,768.08
1321,769.94
1322,773.02
1323,774.75
1324,770.04
1325,780.65
1326,780.01
1327,780.07
1328,778.96
1329,785.17
1330,791.01
1331,790.69
1332,792.25
1333,800.64
1334,834.18
1335,864.89
1336,922.18
1337,899.65
1338,896.91
1339,908.35
1340,934.83
1341,975.13
1342,972.53
1343,960.63
1344,963.66
1345,998.62
1346,1021.6
1347,1044.4
1348,1156.73
1349,1014.24
1350,903.49
1351,908.17
1352,913.24
1353,902.44
1354,908.11
1355,775.18
1356,803.74
1357,825.14
1358,818.14
1359,821.78
1360,830.95
1361,909.37
1362,888.34
1363,898.17
1364,895.55
1365,922.21
1366,925.5
1367,910.68
1368,891.92
1369,902.4
1370,918.36
1371,919.81
1372,922.07
1373,920.15
1374,920.96
1375,970.94
1376,990
1377,1011.46
1378,1031.33
1379,1043.52
1380,1028.4
1381,1040.14
1382,1062.32
1383,1064.7
1384,995.63
1385,988.9
1386,1003.52
1387,998.89
1388,991.73
1389,1006.21
1390,1007.65
1391,1026.12
1392,1049.21
1393,1054.76
1394,1048.69
1395,1079.28
1396,1114.8
1397,1117.27
1398,1172.71
1399,1170.41
1400,1144.27
1401,1163.78
1402,1180.72
1403,1180.04
1404,1224.68
1405,1250.71
1406,1277.43
1407,1254.29
1408,1267.47
1409,1273.21
1410,1223.23
1411,1150.35
1412,1189.36
1413,1116.32
1414,1176.62
1415,1221.78
1416,1232.16
1417,1240.16
1418,1251.33
1419,1180.16
1420,1099.69
1421,976.73
1422,1037.24
1423,1055.36
1424,1120.65
1425,1050.05
1426,1038.45
1427,936.54
1428,974.02
1429,972.05
1430,1044.58
1431,1046.08
1432,1042.21
1433,1026.64
1434,1071.71
1435,1080.61
1436,1102.95
1437,1145.52
1438,1134.14
1439,1125.81
1440,1178.94
1441,1172.65
1442,1176.57
1443,1187.3
1444,1187.46
1445,1204.81
1446,1201.02
1447,1170.33
1448,1167.3
1449,1172.61
1450,1183.25
1451,1193.77
1452,1212.13
1453,1211.08
1454,1229.42
1455,1222.71
1456,1231.92
1457,1209.63
1458,1250.45
1459,1265.99
1460,1281.88
1461,1317.74
1462,1317.84
1463,1321.87
1464,1348.3
1465,1421.03
1466,1453.78
1467,1490.72
1468,1540.87
1469,1556.81
1470,1579.47
1471,1596.92
1472,1723.89
1473,1756.52
1474,1780.37
1475,1845.76
1476,1723.12
1477,1800.86
1478,1808.44
1479,1741.7
